sku_name,ua_name,price
1_puffed_food,Oishi снеки з зеленого горошку 55 г,89.9
2_puffed_food,Печиво овочеве крекер 80 г,55.9
3_puffed_food,Oishi креветкові чіпси 40 г,79.9
4_puffed_food,Oishi снеки зі смаком краба 40 г,75.9
5_puffed_food,Кукурудзяні снеки барбекю 65 г,39.9
6_puffed_food,Panpan снеки смак гриль-стейк 105 г,95.9
7_puffed_food,Oishi креветкові палички 40 г,72.9
8_puffed_food,Oishi цибульні кільця 40 г,69.9
9_puffed_food,Oishi рибні снеки з норі 50 г,58.9
10_puffed_food,Cheetos смак японського стейку 90 г,69.9
11_puffed_food,Cheetos смак індички 90 г,65.9
12_puffed_food,Oishi кукурудзяні палички полуничний смак 40 г,62.9
13_dried_fruit,Ядра насіння соняшнику смак крабової ікри 75 г,49.9
14_dried_fruit,Фісташки 140 г,139.9
15_dried_fruit,Арахіс солоний 350 г,95.9
16_dried_fruit,Кеш’ю 160 г,129.9
17_dried_fruit,Ягоди годжі 100 г,119.9
18_dried_fruit,Батат сушений 228 г,85.9
19_dried_fruit,Манго сушене 80 г,99.9
20_dried_fruit,Персик сушений 75 г,92.9
21_dried_fruit,Лимонні скибочки 65 г,79.9
22_dried_food,Фініки Хотан Сіньцзян 454 г,145.9
23_dried_food,Гриби шиїтаке сушені 100 г,139.9
24_dried_food,Лонган сушений 500 г,179.9
25_dried_food,Гриби чайного дерева 200 г,165.9
26_dried_food,Чорний гриб муер 150 г,109.9
27_dried_food,Арахіс варений 454 г,119.9
28_dried_food,Сушена жовта лілія 100 г,89.9
29_dried_food,Насіння соняшнику трав’яний смак 150 г,55.9
30_dried_food,Насіння соняшнику молочний смак 150 г,55.9
31_instant_drink,Чай у пакетиках зелений 50 г,49.9
32_instant_drink,Чай у пакетиках чорний 50 г,45.9
33_instant_drink,Молочний чай таро 80 г,79.9
34_instant_drink,Молочний чай червона квасоля 65 г,75.9
35_instant_drink,Картопляна каша швидкого приготування 25 г,39.9
36_instant_drink,Рисова каша для сніданку 40 г,35.9
37_instant_drink,Соєве молоко порошкове солодке 210 г,119.9
